University,Program,Degree,Entrance Semester,Decision,Decision Date,GPA,GRE Verbal,GRE Writing,GRE,Date Added,Notes
Drexel University,Clinical Psychology,PhD,F23,Wait listed,,4.00,,,,2023-01-20,IGNORE STATUS. Has anybody/everybody received interview invites? Was it a mass email or specifically from a PI?
The Chicago School Of Professional Psychology- LA Campus,Clinical Psychology,PsyD,F23,Interview,,3.75,,,,2023-01-20,
Boston University,Counseling Psychology,PhD,F23,Rejected,2023-01-20,,,,,2023-01-20,Rejection via mail. It's my first decision and it's a rejection. At least I received a result. I hope others will be acceptance.
York University,Quantitative Psychology,Masters,F23,Accepted,2023-01-20,3.30,,,,2023-01-20,"Canadian applicant, did my undergrad at York. GPA for first 2 years of undergrad was significantly lower than the latter years, contributing to a lower/mediocre cumulative GPA.  Took all research methods/statistics courses offered to undergrads. Also recently did well in a university advanced stat/programming class (taken as a non-degree student in prep for grad school). Have 4 years post-bac full-time research coordinator experience (working in psychiatric research hospitals), managing large studies. Have 8 academic conference poster presentations (many were 1st author), currently have 2 publications under review (one 1st author); both papers are not on methods or quantitative psychology per se but do involve personally applying intermediate statistics to topics of interest. Met with the PI of interest back in September, just informal meeting about research interests. On January 20 I checked MyFile which said I was ""admitted"". I then reached out to the grad coordinator to see if this was correct, as I didn't receive any notice of formal interviews and did not receive any formal offer letter even though MyFile said admitted. Grad coordinator responded that same day with an offer letter. Have been rejected from programs in past years."
Pepperdine University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,
George Washington University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,
"University Of Texas, El Paso",Legal Psychology,PhD,F23,Interview,,4.00,,,,2023-01-20,
University Of Prince Edward Island,Clinical Psychology,PsyD,F23,Interview,,3.90,,,,2023-01-20,Ontario student
George Washington University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,
George Washington University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,
East Tennessee State University,Clinical Psychology,PhD,F23,Interview,,3.90,,,,2023-01-20,Emailed by program director dates in late February virtual or in person.
"University Of Illinois, Chicago (UIC)",Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-20,"Ignore status. Has anyone heard back from UIC/UIUC clinical psych? If yes, was it  a waitlist, rejection, or interview invite?"
George Washington University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,Finally!
Harvard University,Psychology,PhD,F23,Interview,,,,,,2023-01-20,
Pacific University (Oregon),Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,4 virtual interview dates to choose.
Clark University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,
"University Of California, San Diego",Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,"I got an email personally from JW, not from the portal."
Harvard University,Clinical Psychology,PhD,F23,Interview,,3.88,,,,2023-01-20,KM
Harvard University,Psychology,PhD,F23,Interview,,,,,,2023-01-20,Virtual Interview Day on Feb 3rd (9am-5pm)
University Of Rochester,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,PI initials DDF
University Of Michigan (Ann Arbor),Psychology,PhD,F23,Wait listed,,,,,,2023-01-20,"Ignore the status, anyone received formal intereview invites / heard from the joint program of Psychology and Women's studies or others? Thanks"
"University Of California, San Diego",Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-20,IGNORE STATUS. Who are you all getting the mass emails from? Is it by PI? Radio silence for a lot of us which is weird
University Of Cincinnati,School Psychology,Other,F23,Accepted,2023-01-20,,,,,2023-01-20,EdS degree
University Of Massachusetts (Boston),Clinical Psychology,PhD,F23,Interview,,3.91,,,,2023-01-20,prelim with JR
"University Of California, San Diego",Clinical Psychology,PhD,F23,Rejected,2023-01-20,,,,,2023-01-20,no interview invite but waitlisted
Clark University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,
San Diego State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,got mass email to check portal
UT Southwestern (UTSW Medical Center),Clinical Psychology,PhD,F23,Interview,,3.70,,,,2023-01-20,American with international higher education; sent invitation to interview
Harvard University,Clinical Psychology,PhD,F23,Interview,,4.00,170,,168,2023-01-20,
"University Of California, San Diego",Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-20,
Clark University,Clinical Psychology,PhD,F23,Interview,,3.77,,,,2023-01-20,email invite from EC
University Of San Francisco,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,2 dates for in-person interview but no choice.
Baylor University,Clinical Psychology,PsyD,F23,Rejected,2023-01-20,,,,,2023-01-20,
Virginia Commonwealth University,Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-20,
Georgia Southern University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-20,hi everyone! has anyone heard from Georgia Southern yet
Acadia University,Clinical Psychology,Masters,F23,Interview,,,,,,2023-01-20,
Rutgers Universityâ€“New Brunswick,School Psychology,PsyD,F23,Interview,,3.80,,,,2023-01-20,
Yale University,Psychology,PhD,F23,Wait listed,,,,,,2023-01-20,Ignore the status. Does anyone hear any update from Yale Psychology? I saw they would send the interview invitation this week on the other post here
Pacific University,Clinical Psychology,PhD,F23,Interview,,3.72,,,,2023-01-20,
University Of Michigan (Ann Arbor),Developmental Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-20,"I regret to say that you will not be offered admission to the program this year. Over 800 students applied, and about thirty will comprise the entering class this fall. A major factor in admissions is the fit of student to the faculty scholars we have in residence, even though many candidates show the dedication, achievement, and preparation needed to succeed in graduate school.  My hope is that you will find a good match with another program, or another route to the bright future ahead of you!"
San Diego State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,interview invite with JLW
Northwestern University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,PI: ER
Wichita State University,Clinical Psychology,PhD,F23,Interview,,3.96,,,,2023-01-19,Phone call and follow up email from the DCT for a virtual Interview on Jan. 31st
"University Of California, San Diego",Clinical Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
Harvard University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Interview with RM
"University Of California, San Diego",Clinical Psychology,PhD,F23,Rejected,2023-01-19,4.00,167,,166,2023-01-19,Post-bacc with 3 publications and still not enough
San Diego State University,Clinical Psychology,PhD,S22,Rejected,2023-01-19,,,,,2023-01-19,Generic mass email blah blah
Harvard University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Interview with KM
"University Of California, San Diego",Experimental Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,Not formally rejected but didn't get interview
Northwestern University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Check your spam everyone!
University Of Minnesota,Developmental Psychology,PhD,F23,Rejected,2023-01-12,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Developmental Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
"University Of California, San Diego",Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,I work with this PI on a project. He told me in-person that I have an interview.
San Diego State University,Clinical Psychology,PhD,F23,Interview,,3.97,164,5.50,162,2023-01-19,"5 publications, 8 poster presentations, 3 oral presentations"
East Tennessee State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,IGNORE STATUS. has anyone heard back?
Harvard University,Adult Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Northwestern University,Clinical Psychology,PhD,F23,Interview,,4.00,,,,2023-01-19,Applied for Feinberg!!!!
Northwestern University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Harvard University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,IGNORE! Has anyone heard from Harvard/UW/USC/UCLA/USF
Arizona State University,Counseling Psychology,PhD,F23,Interview,,3.47,158,5.00,144,2023-01-19,
Northwestern University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,i received a call from the poi and got an email shortly after with zoom link
Boston College,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Northwestern University,Clinical Psychology,PhD,F23,Interview,,3.96,,,,2023-01-19,Will not disclose PI
Rutgers Universityâ€“New Brunswick,Clinical Psychology,PsyD,F23,Wait listed,,,,,,2023-01-19,Ignore Status. Does anyone know when the PsyD program at Rutgers will be emailing decisions?
Yale University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
"University Of California, San Diego",Clinical Psychology,PhD,F23,Interview,,4.00,,,,2023-01-19,
IUP,Clinical Psychology,PsyD,F23,Wait listed,,,,,,2023-01-19,Please ignore the status. Has anyone received invitations or rejections for IUP yet?
ASU,Clinical Psychology,PhD,F23,Rejected,2023-01-19,3.75,,,,2023-01-19,"Thank you for your application to the Clinical Psychology doctoral program at Arizona State University. This year we received nearly 300 applications for just 4 positions. Our Admissions Committee conducted a holistic review of each application and has had to turn away many impressive candidates. We want you to know that while your application was considered strong, and made it through our third round of reviews, we will not be able to consider your application further.

 Applications that did not reach the final review or interview stage, while being strong, may not have been perfectly aligned with faculty research interests or provided the best fit with the program. These applications met our minimum standards and more but may not have been as competitive as others for these reasons and others (e.g., less than average research experience, or selection of a mentor not taking students)."
Pacific University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
University Of Iowa,Clinical Psychology,PhD,F23,Rejected,2023-12-29,4.00,,,,2023-01-19,
University Of Michigan (Ann Arbor),Clinical Psychology,PhD,F23,Rejected,2023-01-19,4.00,,,,2023-01-19,Received email that they received over 800 applications and accepted 30 students.
University Of North Texas,Counseling Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Social Psychology,PhD,F23,Rejected,2023-01-19,3.30,,,,2023-01-19,"4.0 Master's GPA, no GRE"
Pacific University (Oregon),Clinical Psychology,PhD,F23,Interview,,3.80,,,,2023-01-19,Grad GPA: 4.0
Yale University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Ignore status. Did formal invites go out?
University Of Cincinnati,School Psychology,PhD,F23,Accepted,2023-01-19,3.83,,,,2023-01-19,
University Of Hartford,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-19,
San Diego State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
City University Of New York (CUNY),Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,"Ignore status! Saw someone post about CUNY Graduate Center before, but can't find the post. Has anyone been formally rejected from the program/received an interview invite? There are so many CUNYs, so specifically curious about Colin Powell. Thanks and good luck all!"
Nova Southeastern University,Clinical Psychology,PsyD,F23,Accepted,2023-01-10,,,,,2023-01-19,
SDSU/UC San Diego,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Developmental Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Developmental Psychology,PhD,F23,Rejected,2023-01-19,3.75,,,,2023-01-19,"No interview, rejected by department"
Pacific University (Oregon),Clinical Psychology,PhD,F23,Interview,,3.90,,,,2023-01-19,
University Of North Texas,Counseling Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
Suffolk University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Penn State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,IGNORE STATUS. Has anyone received an invite for an interview from PI: SW at Penn State? Best of luck!!
University Of Michigan (Ann Arbor),Social Psychology,PhD,F23,Rejected,2023-01-19,4.00,,,,2023-01-19,"No GRE, MPP from Georgetown (GPA 3.8). 1 year of research experience."
University Of Michigan (Ann Arbor),Social Psychology,PhD,F23,Rejected,2023-01-19,3.60,,,,2023-01-19,
University Of Vermont,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Has anyone heard from MP at UVM?
Florida International University,Legal Psychology,PhD,F23,Wait listed,,3.06,,,,2023-01-19,MA PsychnScience GPA: 3.96. Emailed the program coordinator and they let me know that. y application was considered quite strong and the I am on the waitlist
University Of Michigan (Ann Arbor),Social Psychology,PhD,F23,Rejected,2023-01-19,3.86,,,,2023-01-19,"straight application from undergrad, interests: stereotype"
University Of Michigan (Ann Arbor),Developmental Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Social Psychology,PhD,F23,Rejected,2023-01-19,4.00,,,,2023-01-19,received generic email. undergrad alumni.
University Of Hartford,Clinical Psychology,PsyD,F23,Interview,,3.50,,,,2023-01-19,emailed for virtual 5 hour interview
University Of Michigan (Ann Arbor),Social Psychology,PhD,S23,Rejected,2023-01-19,,,,,2023-01-19,generic email. 800 applicants. I applied to the social subplan. Initials: LC.
What Language Do You Use To Ask A PI Or Admissions Office If Interviews Have Gone Out?,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,
University Of Michigan (Ann Arbor),Clinical Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
University Of Alabama,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
West Virginia University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Rutgers Universityâ€“New Brunswick,School Psychology,PsyD,F23,Interview,,,,,,2023-01-19,
University Of Cincinnati,School Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,Was called by faculty member to let me know that I was on the waitlist and they'd let me know if anything changed.
SDSU/UCSD JDP,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,"I am sorry, but I won't be able to share the PI initials :("
SUNY Buffalo,Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-19,
SDSU/UC San Diego JDP,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,"Ignore status!! Has anyone heard back from: SDSU/UC San Diego Joint Doctoral Program, Loyola University Chicago PhD, NYU Counseling Psychology PhD, or Rutgers PsyD program?
Thanks for your help!"
University Of Pittsburgh,Clinical Psychology,PhD,F23,Wait listed,,3.80,,,,2023-01-19,"IGNORE STATUS.
Has anyone received an interview offer from SCB?"
University Of Mich,Combined Education And Psychology,PhD,F23,Rejected,2023-01-19,,,,,2023-01-19,
University Of Alabama,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,Emailed the program coordinator. All initial interview invites have been sent out.
University At Buffalo,Counseling Psychology/School Psychology,PhD,F23,Interview,,,,,,2023-01-19,First Ph.D. interview!
"University Of Massachusetts, Amherst",Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,Emailed the program coordinator. All initial interview invites have been sent out.
University Of Notre Dame,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-19,Has anyone gotten interview offers for Notre Dame yet?
William James College,Clinical Psychology,PsyD,F23,Rejected,2023-12-22,3.95,,,,2023-01-19,"Did not take GRE, highest degree (BA) is from Canada but I am an American citizen"
Baylor University,Clinical Psychology,PsyD,F23,Rejected,2023-01-19,,,,,2023-01-19,
Howard University,Counseling Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,"Please ignore waitlist status. To the person who received an email from Howard University on 1/6, just wondering if it's safe to assume they've sent out all invites? I haven't received anything as of 1/19. 3.5 MASTERS GPA in Counseling / 3.1 GPA UNDERGRAD unrelated subject. Plenty of Clinical Experience, no research experience."
Texas Tech University,Clinical Psychology,PhD,F23,Wait listed,,3.60,,,,2023-01-19,"High alternate on waitlist for interview. Not a rejection, but not an interview either."
New York University (NYU) - Steinhardt,Counseling Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,IGNORE STATUS. Has anyone heard back from Steinhardt's PhD program?
"ASC, University Of Denver",Psychology,PhD,F23,Interview,,,,,,2023-01-19,
"Cognitive Area, University Of California, Los Angeles",Psychology,PhD,F23,Interview,,,,,,2023-01-19,
Cornell University,Human Development (Developmental Psychology),PhD,F23,Interview,,,,,,2023-01-19,Was invited for department interview weekend of Feb 1-3rd. The departments between Human Dev and Psychology are merging this year for reference for future applicants
Cornell University,Developmental Psychology,PhD,F23,Interview,,3.75,,,,2023-01-19,Got an email inviting me to interview weekend from the department :)
University Of Toronto,Psychology,PhD,F23,Interview,,,,,,2023-01-19,Recruitment event (1/26-1/27)
University Of Alabama,Developmental Psychology,PhD,F23,Accepted,2023-01-12,,,,,2023-01-19,
Indiana University Bloomington,Counseling Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-19,
Cuny,Cognitive And Comparative Psychology,PhD,F23,Interview,,,,,,2023-01-19,Invited for an interview with 3 POI.
Baylor University,Clinical Psychology,PsyD,F23,Rejected,2023-01-18,3.80,,,,2023-01-19,"Very strange program. 4 Pubs, 4 conference posters, 5 years of clinical research experience. I believe it has to do with my identity and the professors there gave a cold shoulder during email exchange.  Good luck to everyone else :)

#APARedFlag"
University Of Kansas,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,"PI said I am high alternate... plz, if you are considering not to interview there, notify the PI immediately. this school is my last hope for an interview  :/"
Hofstra University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-19,IGNORE status!!!! Does anyone know if hofstra OR LIU brooklyn will be releasing more interview candidates? or is this it??
Yeshiva University,Clinical Psychology,PsyD,F23,Wait listed,,,,,,2023-01-19,"Ignore waitlist. ignore status!!! Just curious - does anyone know if yeshiva is sending out more interviews, or if thats it?"
Mercer University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-18,
Oregon Health & Science University (OHSU),Clinical Psychology,PhD,F23,Rejected,2023-01-18,3.56,,,,2023-01-18,"It stings. So bad. BS in Psychology. Honors Undergraduate Thesis, 1 year of research experience."
Oregon Health & Science University (OHSU),Clinical Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-18,
Fordham University,Clinical Psychology,PhD,F23,Rejected,2023-01-18,4.00,,,,2023-01-18,"All interview invites have been officially extended, didnâ€™t get one."
Fordham University,Clinical Psychology,PhD,F23,Rejected,2023-01-18,4.00,,,,2023-01-18,"All interview invites have been officially extended, didnâ€™t get one."
Oregon Health & Science University (OHSU),Clinical Psychology,PhD,F23,Rejected,2023-01-18,3.80,169,5.00,164,2023-01-18,One publication. Probably was denied due to insufficient hours of research experience (thanks COVID) and the fact that my undergrad work differs from my goals for grad research.
Baylor,Psy D Psychology,PsyD,F23,Rejected,2023-01-18,3.85,,,,2023-01-18,"No GRE. 2 Summer REUs, 2 years of Research Exp, 1 Head of Study, 2 Poster presentations at a conference. Had similar interests to a PI. Devestated."
"Teachers College, Columbia University",Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-18,Notified by email invited to the interview on 2/2
Boston College,Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-18,Received an invitation for preliminary interview through email !!!! :D
PGSP- Stanford Consortium,Clinical Psychology,PsyD,F23,Rejected,2023-01-18,,,,,2023-01-18,
Bowling Green State University,Clinical Psychology,PhD,F23,Interview,,3.80,,,,2023-01-18,Got invited to information session and interview with two faculty. PI not known at the time
Baylor University,Clinical Psychology,PsyD,F23,Rejected,2023-01-18,3.70,,,,2023-01-18,Email directed me to the portal where my rejection was. They gave me a pdf of how to improve my application though so thatâ€™s nice I guess.
University Of Southern Mississippi,Clinical Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-18,
Baylor University,Psychology,PsyD,F23,Rejected,2023-01-18,3.95,,,,2023-01-18,emailed me that a decision had been made regarding my application and to check my portal
San Diego State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-18,**Ignore status - anyone heard from the JDP?
Cornell University,Psychology,PhD,F23,Interview,,3.73,,,,2023-01-18,Virtual interviews February 1st-3rd
Baylor University,Clinical Psychology,PsyD,F23,Rejected,2023-01-18,3.80,,,,2023-01-18,
University Of Minnesota,School Psychology,PhD,F23,Rejected,2023-01-18,3.50,,,,2023-01-18,Rejected after I did not receive an interview. Good luck to anyone who applied!
Northeastern University,School Psychology,Masters,F23,Interview,,,,,,2023-01-18,
York University,Psychology,Masters,F23,Interview,,,,,,2023-01-18,"Ontario applicant, invited for interview day by Brain, Behaviour and Cognitive Sciences coordinator."
University Of Toledo,Clinical Psychology,PhD,F23,Interview,,3.80,,,,2023-01-18,
Northeastern University,School Psychology,Masters,F23,Interview,,,,,,2023-01-18,
Fordham University,Clinical Psychology,PhD,F23,Interview,,3.80,,,,2023-01-18,"4.0 undergrad, 3.8 grad"
University Of Utah,Clinical Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-18,emailed the department to see if interviews had gone out and for a status update and they responded to say i was not accepted
Bowling Green State University,Industrial Organizational Psychology,PhD,F23,Wait listed,,,,,,2023-01-18,
Adelphi University,Clinical Psychology,PhD,F23,Interview,,3.52,162,4.00,154,2023-01-18,PI LB
Fordham University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-18,"IGNORE STATUS.
I see folks have received interview invites from PIs. I'm curious to see if anyone received anything from MA (also called PA), BR, or AR."
University Of North,Clinical Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-18,Finally got my own generic rejection email on 1/18. Good luck to everyone still in the running! PI: RR
University Of South Carolina,School Psychology,PhD,F23,Interview,,3.81,,,,2023-01-18,
Philadelphia College Of Osteopathic Medicine,Clinical Psychology,PsyD,F23,Accepted,2023-01-18,,,,,2023-01-18,email to check portal. interviewed 1/9
Fordham University,Clinical Psychology,PhD,F23,Interview,,3.50,,,,2023-01-18,"Got email from department head to schedule virtual interview day for 1/27, 1/31, or 2/3. PI: CC"
Fordham University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-18,
Fordham University,Clinical Psychology,PhD,F23,Interview,,3.56,,,,2023-01-18,Emailed from potential PI (KC)
University Of Montana,Clinical Psychology,PhD,F23,Interview,,3.90,170,5.00,161,2023-01-18,
SUNY Binghamton,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-18,Has anyone heard about interviews?
University Of Vermont,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-18,Has anyone heard from the University of Vermont about an interview yet? Thanks!
University Of Washington,School Psychology,Masters,F23,Interview,,3.90,,,,2023-01-18,
Montclair State University,Clinical Psychology,PhD,F23,Rejected,2023-01-18,,,,,2023-01-18,"Emailed to check status (applied for EK) and was notified that all interview invites have been extended. Kinda sad as this seems like a very cool program, but congrats to those who did receive invites!"
University Of Minnesota,Quantitative Psychology,PhD,F23,Accepted,2023-01-17,,,,,2023-01-18,
Arizona State University,Clinical Psychology,PhD,F23,Rejected,2023-01-12,3.60,,,,2023-01-18,
Kansas State University,Psychology,PhD,F23,Interview,,3.60,,,,2023-01-18,
University Of Toledo,Clinical Psychology,PhD,F22,Interview,,,,,,2023-01-18,"IGNORE STATUS: Does anyone know if interview invites have already been sent out for UToledo clinical psychology? I saw a couple people heard about interviews in December, but I wasn't sure if that was a mass email or not."
East Carolina University (ECU),Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-18,"IGNORE STATUS: Has ECU sent out all their interview invites yet? If anyone has gotten one, did the email come from PI or department?"
"University Of California, Irvine",Clinical Psychology,PhD,F23,Rejected,2023-01-18,3.97,,,,2023-01-18,"Emailed admissions asking if all of the interview invites were sent out already, they said they've all been extended"
Marshall University,Clinical Psychology,PsyD,F23,Interview,,3.71,,,,2023-01-18,
Mercer University,Clinical Psychology,PsyD,F23,Interview,,3.98,162,4.50,154,2023-01-18,
Syracuse University,Clinical Psychology,PhD,F23,Wait listed,,3.94,,,,2023-01-18,"Ignore Waitlist. Just wanted to update - contacted PO to check application status, they are still under review!"
University Of Illinois Urbana-Champaign (UIUC),PhD Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-18,IGNORE STATUS - does anyone have any information about if UIUC is still conducting interviews? I saw one acceptance on here already. Was there an official interview day?
Fordham University,PhD Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-18,Received email from a professor (not POI) on 01/13/2023 in the CP Department about making it through the first round of interviews. The interview is virtual and is to take place on February 6th or Feb. 8th (choose one date).
Howard University,PhD Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-18,Email from director of CPP stating that HU is interested in interviewing me on (received: 01/06/2023). Did not state when the interview is going to take place. Excited for the news and awaiting to hear when the date is. Hang in there everyone!
NYU Steinhardt,Developmental Psychology,PhD,F23,Interview,,3.93,,,,2023-01-18,
UTSW,Clinical Psychology,PhD,F23,Rejected,2023-01-09,,,,,2023-01-18,"IGNORE STATUS: Does anyone know programs that have later acceptances and app deadlines, I know UTT was Jan 15th but I heard there are other schools with later deadlines we can apply to."
Arizona State University,Law And Psychology,PhD,F23,Interview,,3.06,,,,2023-01-18,30 minute Zoom interview with PI. They said they will contact if I will be invited for on-campus interview.
SUNY Albany,Social And Personality Psychology,PhD,F23,Interview,,3.06,,,,2023-01-18,MA Psychological Science: 3.96
University Of Southern California,Applied Psychology,Masters,F23,Accepted,2023-01-17,,,,,2023-01-17,
Bowling Green State University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-17,Received a mass email from the graduate secretary.
University Of Washington,School Psychology,PhD,F23,Interview,,,,,,2023-01-17,
Bowling Green State University,Clinical Psychology,PhD,F23,Interview,,3.98,,,,2023-01-17,Got an email to schedule interview in February
Northeastern University,Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-17,
Indiana State University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-01-17,
University Of North Texas,Clinical Psychology,PhD,F23,Rejected,2023-01-17,,,,,2023-01-17,I emailed the PI and was rejected (AC) for interviews.
Teachers College,Counseling Psychology,PhD,F23,Interview,,,,,,2023-01-17,
"University Of California, Los Angeles",Health Psychology,PhD,F23,Interview,,,,,,2023-01-17,
City University Of New York (CUNY),Clinical Psychology,PhD,S23,Wait listed,,,,,,2023-01-17,Ignore status! Does anyone know if CUNY (Colin Powell School for Global Leadership) has sent out all invites at this point? Thanks!
University Of North Texas,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-17,IGNORE STATUS. Is anyone else in limbo and neither received an interview invitation nor rejected from University of North Texas or Georgia State? Also anyone heard from Montclair State University?
Pace University,School-Clinical Child Psychology,PsyD,F23,Interview,,3.79,159,4.50,159,2023-01-17,
University Of Pennsylvania,Clinical Psychology,PhD,F23,Rejected,2023-01-17,4.00,,,,2023-01-17,Informed that all interviews were sent out so this was a rejection.
"University Of California, Santa Barbara",Psychology And Brain Sciences,PhD,F23,Interview,,,,,,2023-01-17,
Washington University In St. Louis (WashU/WUSTL),Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-01-17,IGNORE STATUS; has anyone heard from WashU?
New York University,Social Psychology,PhD,F23,Rejected,2023-01-17,3.94,,,,2023-01-17,"Just heard from my labmate who's applying to this program that she got an official interview invite but I didn't, I would assume that I got rejected."
The University Of Washington,Clinical Psychology,PhD,F23,Interview,,3.97,,,,2023-01-17,Invited for preliminary virtual interview.
Simon Fraser University,Clinical Psychology,Masters,F23,Interview,,4.00,,,,2023-01-17,Domestic applicant to SFU's MA Clinical Psychology Program (Child Track). Received interview offers from 2 professors I applied to.
"Teachers College, Columbia",Counseling Psychology,PhD,S23,Interview,,,,,,2023-01-17,"Emailed invite on 1/11 by admin assistant and program director, with potential mentor CCed"
CUNY Queens College,Clinical Psychology,PhD,F23,Interview,,,,,,2023-01-17,"To the person who asked about Queens College - interview invitations were sent out, interview is on 1/20/23"
University Of Maine,Clinical Psychology,PhD,F23,Wait listed,,3.90,,,,2023-01-17,Completed preliminary interview (2 supplementary essays) then was notified by PI 1/17 (RM.A.) that initial interviews were sent out
University Of Pittsburgh,Psychology,PhD,F23,Interview,,,,,,2023-01-17,Email invite for the Biological and Health Psychology program
University Of North Texas,Clinical Psychology,PhD,F23,Rejected,2023-01-17,,,,,2023-01-17,Generic mass email
Teachers College,Social-Organizational Psychology,PhD,F23,Interview,,,,,,2023-01-17,
San Diego State University,Clinical Psychology,PhD,F23,Rejected,2023-01-17,,,,,2023-01-17,Emailed PI and was rejected
University Of Iowa,Psychology,PhD,F23,Interview,,3.48,,,,2023-01-17,Email invitation from PI for interview weekend Feb 2-4.
